Initial Funding Date >$1k,Current Funds,Total Funded to Wallet
2026-08-28,11.33,15225.99
2026-08-31,18343.98,18431.99
,0.0,0
2026-08-30,15624.23,16413.25
2026-08-30,63.71,8292.82
2026-08-31,7737.05,8243.37
2026-08-31,1.06,8891.65
2026-08-31,19.78,7818.27
2026-08-31,6733.39,9392.49
,0.0,0
2026-09-01,2571.86,6999.65
,0.0,0
2026-09-03,3446.18,7822.19
2026-09-03,4213.79,8517.14
2026-09-04,3241.94,8047.3
,0.0,0
,0.0,0
