Initial Funding Date >$1k,Current Funds,Total Funded to Wallet
2026-08-28,5530.7,15225.99
2026-08-31,18458.29,18431.99
,0.0,0
2026-08-30,15780.67,16413.25
2026-08-30,8211.57,8292.82
2026-08-31,8013.12,8243.37
2026-08-31,8640.4,8891.65
2026-08-31,7840.63,7818.27
2026-08-31,9406.36,9392.49
,0.0,0
2026-09-01,6980.7,6999.65
,0.0,0
,0.0,0
,0.0,0
,0.0,0
