wallet,address,datetime_utc,date_utc,operation_type,external_receive,internal_transfer,chain,token,token_name,amount,price_usd,usd_value,sender,sender_label,tx_hash
BritanyStoddard,0x5c3e0eaa0c39e1940b4f82a53beace055586c96c,2026-09-07 16:32:11,2026-09-07,receive,TRUE,FALSE,ethereum,PYUSD,PayPal USD,4323.63,0.999868,4323.06,0x79c6cc78bc98bbfaf23ed93343638e2e5021fed9,,0x16e7f835948de9c9199118ad9564d6a2b6b5e8c3365c9b846a410d402b1230a8
BritanyStoddard,0x5c3e0eaa0c39e1940b4f82a53beace055586c96c,2026-09-06 21:36:23,2026-09-06,receive,TRUE,FALSE,ethereum,PYUSD,PayPal USD,4383.34,0.999985,4383.27,0xdb5c1f4ddc0a2d815564db5f5e72ae76ad97f363,,0x2cb3410e816ce145df47005111cbd003560a403223f01d8fc08a60c124781b99
BritanyStoddard,0x5c3e0eaa0c39e1940b4f82a53beace055586c96c,2026-09-04 01:41:23,2026-09-04,receive,TRUE,FALSE,ethereum,PYUSD,PayPal USD,5519.512795,1.000472,5522.12,0x28aa29d3cb526d4d8e9492bf42ed04aff45388f5,,0x8a7081b74fd73691d0dc9b203fc7e1c7b8bb1b641b2cde61a5f8e5953b180da5
BritanyStoddard,0x5c3e0eaa0c39e1940b4f82a53beace055586c96c,2026-09-01 22:43:35,2026-09-01,receive,TRUE,FALSE,ethereum,PYUSD,PayPal USD,4892.12,0.999493,4889.64,0x28aa29d3cb526d4d8e9492bf42ed04aff45388f5,,0xa51fcc39e539cfc34908359dcfb04e66310fb5fc9fb313eddab5e2b2fc20bb0f
BritanyStoddard,0x5c3e0eaa0c39e1940b4f82a53beace055586c96c,2026-08-29 23:44:59,2026-08-29,receive,TRUE,FALSE,ethereum,PYUSD,PayPal USD,3812.21,0.999991,3812.18,0x28aa29d3cb526d4d8e9492bf42ed04aff45388f5,,0xeae3e9e17122f35e88dcfd2be9a5635d58519af0e6cedbd68fec500bc7eeca1b
BritanyStoddard,0x5c3e0eaa0c39e1940b4f82a53beace055586c96c,2026-08-28 18:32:35,2026-08-28,receive,TRUE,FALSE,ethereum,PYUSD,PayPal USD,995.0,0.999843,994.84,0x28aa29d3cb526d4d8e9492bf42ed04aff45388f5,,0x500b3feca67481f0b58c4e4525c81429ea7f1992be31031c04c0d6a106b634cf
